"ID","ITEM","CREATED"
1,14,2019-02-11
1,123,2018-05-15
1,105,2019-12-06
1,94,2019-08-22
1,132,2018-10-10
1,60,2019-11-06
1,55,2018-09-11
1,65,2019-06-17
1,184,2017-05-03
1,6,2020-01-17
1,76,2018-07-22
3,7,2018-06-26
3,70,2019-04-06
3,139,2017-05-25
3,116,2018-06-26
3,68,2017-12-14
3,48,2020-02-06
3,12,2020-04-10
3,136,2019-02-14
3,160,2018-04-21
3,94,2018-05-02
4,10,2019-12-12
4,85,2019-06-02
4,14,2019-09-20
4,97,2019-12-21
5,40,2018-06-20
6,14,2019-04-28
6,49,2018-05-23
6,45,2018-03-07
6,179,2019-04-15
7,191,2018-05-22
7,82,2018-06-04
7,172,2019-06-18
7,3,2019-01-04
7,21,2017-10-10
7,145,2018-07-04
7,17,2017-08-30
7,39,2018-07-25
7,142,2018-05-09
7,101,2019-11-21
7,51,2018-12-04
7,145,2019-11-16
8,193,2019-11-03
8,101,2017-10-01
8,141,2017-09-25
8,8,2018-06-14
8,104,2018-07-06
8,140,2019-05-16
8,157,2019-11-17
8,12,2018-01-01
8,114,2017-12-06
9,34,2018-07-15
9,79,2018-09-15
10,68,2018-10-26
10,149,2017-08-16
10,109,2016-12-02
10,42,2020-02-05
10,91,2019-03-09
10,71,2019-04-11
10,92,2018-07-10
10,11,2019-09-23
10,198,2018-10-13
10,58,2018-04-14
10,65,2019-02-23
10,53,2018-09-14
10,15,2018-03-30
10,152,2018-05-30
12,25,2019-05-28
12,183,2019-06-28
12,22,2019-11-21
12,161,2017-09-01
12,13,2017-07-18
12,122,2019-08-18
12,154,2020-02-20
12,13,2017-04-10
15,185,2016-12-19
15,86,2019-09-27
15,165,2018-05-02
15,49,2018-04-25
15,85,2019-04-15
15,157,2019-10-29
16,78,2018-01-03
16,169,2018-04-28
16,183,2019-12-26
16,104,2019-06-05
16,147,2016-06-08
16,17,2019-05-06
16,14,2019-08-10
16,90,2016-08-28
16,87,2016-12-29
17,185,2019-02-18
17,147,2017-03-26
17,15,2017-06-18
17,172,2019-08-01
17,76,2017-09-12
17,140,2018-09-26
17,110,2019-07-01
17,26,2020-04-06
17,199,2019-12-23
17,84,2017-03-28
17,30,2018-09-14
17,95,2017-12-02
17,172,2019-09-15
17,23,2020-02-15
17,118,2018-03-01
17,158,2019-06-16
17,12,2017-05-07
17,127,2017-12-01
17,172,2019-09-14
17,102,2017-05-12
17,56,2020-04-19
17,115,2018-06-12
17,182,2019-09-01
17,108,2019-12-08
18,191,2017-08-30
18,67,2019-01-01
18,49,2018-02-26
18,37,2018-12-18
18,198,2020-03-26
18,84,2017-03-29
18,144,2018-02-03
18,41,2018-12-31
18,131,2017-11-19
18,26,2017-06-13
19,129,2018-07-18
19,149,2019-07-25
20,25,2019-08-27
20,134,2018-05-29
20,12,2019-04-26
20,100,2017-05-13
20,39,2020-02-05
20,161,2018-07-22
20,36,2016-10-25
20,87,2020-02-28
21,120,2018-01-04
21,116,2018-11-21
21,126,2017-02-25
21,62,2018-03-26
21,128,2017-07-31
21,4,2017-08-25
22,132,2019-06-21
22,57,2018-01-30
22,24,2018-04-05
22,15,2016-12-11
22,120,2017-03-18
22,189,2017-09-29
22,71,2019-05-24
22,106,2019-01-26
22,199,2020-01-25
22,104,2018-11-06
22,78,2019-12-19
22,61,2018-04-28
23,29,2018-11-28
23,83,2019-12-25
23,21,2018-04-06
23,189,2020-03-12
23,104,2019-01-14
23,78,2019-08-18
23,114,2018-01-31
23,165,2018-03-01
24,29,2020-04-04
24,126,2019-05-26
24,75,2018-04-07
24,33,2018-10-22
24,10,2019-08-14
